0	ChГє ГЅ!
1	ChГє ГЅ cГі lб»—i (%s) BбєЎn vui lГІng thoГЎt ra khб»Џi game
2	Co tap tin bi loi. Ban vui long cai lai tro choi
3	Kбєїt nб»‘i vб»›i mГЎy chб»§ Д‘ГЈ bб»‹ ngбєЇt
4	BбєЎn hГЈy cбє­p nhбє­t Driver mб»›i nhбєҐt cho card mГ n hГ¬nh
5	[Lб»—i 01] ChЖ°ЖЎng trГ¬nh bб»‹ nhiб»…m virus. BбєЎn cбє§n dГ№ng cГЎc chЖ°ЖЎng trГ¬nh hб»— trб»Ј diб»‡t Virus
6	[Lб»—i 02] ChЖ°ЖЎng trГ¬nh chб»‘ng hack bб»‹ ngбєЇt Д‘oбєЎn. BбєЎn vui lГІng kбєїt nб»‘i lбєЎi.
7	[Lб»—i 03] Lб»—i tбє­p tin NPX.DLL sau khi chбєЎy tбє­p tin setup.exe. BбєЎn vui lГІng gб»Ќi sб»‘ 0166.224.9787 Д‘б»ѓ Д‘Ж°б»Јc hб»— trб»Ј.
8	[Lб»—i 04] Lб»—i phГЎt sinh ngoГ i hб»‡ thб»‘ng. BбєЎn vui lГІng gб»Ќi sб»‘  0166.224.9787 Д‘б»ѓ Д‘Ж°б»Јc hб»— trб»Ј.
9	[Loi 05] BбєЎn vui lГІng nhбєҐp chuб»™t vГ o nГєt kбєїt thГєc.
10	[Lб»—i 06] Lб»—i %d!!! Vui lГІng kiб»ѓm tra tбє­p tin findhack.zip б»џ trong thЖ° mб»Ґc MU 
11	Lб»—i dб»Ї liб»‡u.
12	[Lб»—i 07] Thiбєїu tбє­p tin, bбєЎn vui lГІng tбєЈi vб»Ѓ lбєЎi б»џ trang chб»§.
13	Cбє­p nhбє­t trГІ chЖЎi bб»‹ lб»—i, bбєЎn hГЈy cбє­p nhбє­t lбєЎi.
14	Khб»џi Д‘б»™ng lбєЎi mГЎy Д‘б»ѓ hoГ n thГ nh Cбє­p nhбє­t.
15	[Lб»—i 08] Kбєїt nб»‘i vб»›i mГЎy chб»§ cбє­p nhбє­t khГґng thГ nh cГґng. Nбєїu tiбєїp tб»Ґc gбє·p lб»—i nГ y, bбєЎn vui lГІng gб»Ў bб»Џ vГ  cГ i Д‘бє·t lбєЎi MU.
16	[Lб»—i 09] PhГЎt hiб»‡n chЖ°ЖЎng trГ¬nh Hack. BбєЎn vui lГІng liГЄn hб»‡ vб»›i Admin.
17	[Lб»—i 10] KhГґng thб»ѓ lЖ°u thГґng tin vГ o Registry.
18	GulrimChe
19	Sб»± kiб»‡n
20	PhГ№ Thб»§y
21	Chiбєїn Binh
22	TiГЄn Nб»Ї
23	ДђбєҐu SД©
24	ChГєa Tб»ѓ
25	PhГЎp SЖ°
26	Kб»µ SД©
27	ThГЎnh Nб»Ї
28	Дђбє·t trЖ°б»›c: cГґng viб»‡c
29	Дђбє·t trЖ°б»›c: cГґng viб»‡c
30	Lorencia
31	Dungeon
32	Devias
33	Noria
34	Lost Tower
35	Place of Exile
36	Stadium
37	Atlans
38	Tarkan
39	QuбєЈng TrЖ°б»ќng Quб»·
40	Lб»±c mб»™t tay
41	Lб»±c hai tay
42	TбєҐn cГґng phГ©p thuбє­t
43	RбєҐt chбє­m
44	Chбє­m
45	BГ¬nh thЖ°б»ќng
46	Nhanh
47	RбєҐt nhanh
48	BДѓng
49	Дђб»™c
50	SГ©t
51	Lб»­a
52	ДђбєҐt
53	GiГі
54	NЖ°б»›c
55	Icarus
56	Huyбєїt LГўu
57	Hб»—n NguyГЄn LГўu
58	Kalima
59	CбєҐm Д‘б»‹a HoГ ng gia
60	%s khГґng thб»ѓ sб»­ dб»Ґng mГіn nГ y
61	DГ№ng cho %s
62	GiГЎ mua: %s
63	GiГЎ bГЎn: %s
64	Tб»‘c Д‘б»™: %d
65	Lб»±c chб»‘ng Д‘б»Ў: %d
66	Sб»©c chб»‘ng phГ©p: %d
67	KhбєЈ nДѓng phГІng vб»‡: %d
68	Tб»‘c Д‘б»™ di chuyб»ѓn: %d
69	Sб»‘ lЖ°б»Јng: %d
70	HP: %d
71	Дђб»™ bб»Ѓn: [%d / %d]
72	%s Chб»‘ng Д‘б»Ў: %d
73	Sб»©c mбєЎnh yГЄu cбє§u: %d
74	(BбєЎn cбє§n cГі thГЄm %d Д‘iб»ѓm nб»Їa)
75	Nhanh nhбє№n yГЄu cбє§u: %d
76	CбєҐp Д‘б»™ yГЄu cбє§u: %d
77	NДѓng lЖ°б»Јng yГЄu cбє§u: %d
78	TДѓng tб»‘c Д‘б»™ di chuyб»ѓn
79	TДѓng %d%% phГ©p thuбє­t
80	Tuyб»‡t chiГЄu PhГІng thб»§ (Mana: %d)
81	Tuyб»‡t chiГЄu Дђб»‹a chбєҐn (Mana: %d)
82	Tuyб»‡t chiГЄu ДђГўm (Mana: %d)
