0	Level: %d | Resets: %d
1	Reconnecting...
2	Logging in...
3	Waiting character list...
4	Waiting character info...
5	Shopping VIP
6	Welcome to the VIP mall, %s!
7	Sign up for a VIP plan and gain benefits!
8	Does not work with master exp and party!
9	Buy %s
10	Value
11	WC: %d
12	WP: %d
13	GP: %d
14	Careful! When you click on the button, the VIP will be purchased!
15	Blood Castle
16	Devil Square
17	Chaos Castle
18	Illusion Temple
19	Online lottery
20	Custom Quiz
21	Custom Bonus
22	Custom Arena
23	Custom Drop
24	King of Mu
25	Events
26	Premium Store
27	Ranking
28	Commands
29	 
30	 
31	 
32	 
33	 
34	 
35	 
36	 
37	 
38	 
39	 
40	- Exp: %d%%
41	- Drop: %d%%
42	- Duration: %d Day(s)
43	 
44	Options
45	Buy Value: %s Zen
46	Buy Value: %s WC
47	Buy Value: %s WP
48	Buy Value: %s GP
49	Sell Value: %s Zen
50	Finances:
51	WC:
52	WP:
53	GP:
54	Welcome!
55	Sell Value: %s WC
56	Sell Value: %s WP
57	Sell Value: %s GP
58	WC
59	WP
60	GP
61	Sell Value: %s Jewel of Bless
62	Sell Value: %s Jewel of Soul
63	Sell Value: %s Jewel of Chaos
64	Value: %s
65	TvT Event
66	Confirm
67	Would you really like to buy this item?
68	MResets
